var,time,mean,lower,upper
r,NA,0.367254,0.181377,0.544463
Incidence,1,0.046771,8e-06,0.394768
Incidence,2,0.10249,2.1e-05,0.867001
Incidence,3,0.16918,4.3e-05,1.432982
Incidence,4,0.249384,8.1e-05,2.111011
Incidence,5,0.346321,0.000146,2.926888
Incidence,6,0.464077,0.000258,3.899895
Incidence,7,0.607871,0.000451,5.070964
Incidence,8,0.784407,0.000784,6.497873
Incidence,9,1.002335,0.001356,8.219456
Incidence,10,1.272885,0.00234,10.255076
Incidence,11,1.610715,0.004032,12.683929
Incidence,12,2.035069,0.006942,15.619928
Incidence,13,2.57136,0.011996,19.223908
Incidence,14,3.253348,0.020537,23.553807
Incidence,15,4.126157,0.035457,28.754439
Incidence,16,5.250468,0.060968,35.139522
Incidence,17,6.708403,0.105313,42.52283
Incidence,18,8.611803,0.180858,51.393407
Incidence,19,11.11397,0.312104,62.281833
Incidence,20,14.42641,0.536187,75.187139
Incidence,21,18.842856,0.920661,90.906111
Incidence,22,24.773964,1.574923,110.121749
Incidence,23,32.797705,2.714739,133.29515
Incidence,24,43.733049,4.65665,161.44615
Incidence,25,58.748359,7.952978,196.791314
Incidence,26,79.521846,13.543168,240.896065
Incidence,27,108.480599,23.023233,296.090627
Incidence,28,149.158888,39.15182,364.669246
Incidence,29,206.738645,65.808826,454.3763
Incidence,30,288.869814,110.21827,572.822664
Incidence,31,406.923317,180.899648,736.371264
Incidence,32,577.916591,290.367909,966.30393
Incidence,33,827.491076,440.594601,1314.851694
Incidence,34,1194.544584,620.948948,1875.045463
Incidence,35,1738.482366,826.479934,2814.068433
Incidence,36,2550.63605,1057.009554,4408.154681
Incidence,37,3772.354407,1321.433869,7169.561323
Incidence,38,5623.835437,1626.510223,11823.816512
Incidence,39,8450.350028,1983.104024,19852.140443
Incidence,40,12796.784384,2408.311918,33415.010548
Incidence,41,19528.553881,2918.594519,56984.740578
CFR,1,0.169098,0.007655,0.606019
CFR,2,0.129459,0.006065,0.488145
CFR,3,0.093371,0.005081,0.344369
CFR,4,0.065519,0.003613,0.240522
CFR,5,0.045771,0.002836,0.157896
CFR,6,0.031638,0.002153,0.105785
CFR,7,0.03507,0.003633,0.102864
CFR,8,0.024114,0.002661,0.067252
CFR,9,0.016634,0.001941,0.044501
CFR,10,0.016015,0.002732,0.039126
u_delay,NA,0.083939,0.029933,0.220475
u_death,NA,0.020236,0.003685,0.078152
predictedDeath,1,1.086281,0.084314,2.858412
predictedDeath,2,1.182712,0.099531,2.996899
predictedDeath,3,1.25623,0.112821,3.139503
predictedDeath,4,1.302148,0.114211,3.31634
predictedDeath,5,1.358508,0.12261,3.422661
predictedDeath,6,1.393459,0.124659,3.542718
predictedDeath,7,2.301964,0.304111,5.256215
predictedDeath,8,2.335473,0.311643,5.337866
predictedDeath,9,2.36563,0.314945,5.389225
predictedDeath,10,3.327399,0.631771,7.038669
