var,time,mean,lower,upper
r,NA,0.416528,0.171,0.662888
Incidence,1,0.059478,0.0,0.572117
Incidence,2,0.129586,1e-06,1.251205
Incidence,3,0.212596,3e-06,2.063238
Incidence,4,0.311348,7e-06,3.028493
Incidence,5,0.429413,1.3e-05,4.164349
Incidence,6,0.571314,2.6e-05,5.53896
Incidence,7,0.742811,5.1e-05,7.182407
Incidence,8,0.951293,0.000101,9.1662
Incidence,9,1.206302,0.000196,11.520727
Incidence,10,1.520255,0.000382,14.361672
Incidence,11,1.909427,0.00075,17.652613
Incidence,12,2.395319,0.00145,21.419077
Incidence,13,3.006563,0.002806,26.12923
Incidence,14,3.781613,0.00545,31.859156
Incidence,15,4.772555,0.01049,38.460337
Incidence,16,6.050574,0.020385,46.506928
Incidence,17,7.713857,0.039471,56.262406
Incidence,18,9.899119,0.076573,67.723283
Incidence,19,12.798599,0.148188,81.578559
Incidence,20,16.685336,0.286525,97.718096
Incidence,21,21.951158,0.552314,117.189457
Incidence,22,29.164359,1.06279,140.724944
Incidence,23,39.15818,2.045101,169.467743
Incidence,24,53.167993,3.95752,205.095065
Incidence,25,73.046275,7.617018,250.011477
Incidence,26,101.603173,14.607305,307.043335
Incidence,27,143.151953,27.754483,379.826557
Incidence,28,204.392273,51.907393,479.23411
Incidence,29,295.856437,96.83285,614.620998
Incidence,30,434.303835,173.973842,813.584225
Incidence,31,646.729415,292.803014,1121.662261
Incidence,32,977.148703,440.668532,1647.089191
Incidence,33,1498.209624,594.921715,2600.742119
Incidence,34,2331.283196,761.303329,4380.383651
Incidence,35,3681.603101,952.683859,7825.428039
Incidence,36,5900.389783,1180.758238,14350.621315
Incidence,37,9595.853808,1436.614879,27055.262873
Incidence,38,15833.629597,1730.411549,51450.164837
Incidence,39,26502.460486,2070.050715,98130.52714
Incidence,40,44988.239112,2488.839344,189480.735388
CFR,1,0.155138,0.006278,0.587413
CFR,2,0.113084,0.004848,0.448612
CFR,3,0.075618,0.003877,0.28579
CFR,4,0.049901,0.003051,0.184407
CFR,5,0.032462,0.002196,0.10988
CFR,6,0.021099,0.001709,0.066826
CFR,7,0.022295,0.002589,0.062786
CFR,8,0.014735,0.001793,0.040396
CFR,9,0.009778,0.00111,0.026956
u_delay,NA,0.048434,0.007527,0.194911
u_death,NA,0.017545,0.001724,0.087627
predictedDeath,1,1.121566,0.084924,2.957047
predictedDeath,2,1.21715,0.107049,3.100829
predictedDeath,3,1.289191,0.111936,3.261471
predictedDeath,4,1.340533,0.124354,3.383167
predictedDeath,5,1.388959,0.134424,3.534181
predictedDeath,6,1.423459,0.143749,3.588488
predictedDeath,7,2.343789,0.312622,5.306459
predictedDeath,8,2.383185,0.323016,5.477895
predictedDeath,9,2.392749,0.320285,5.485258
