var,time,mean,lower,upper
r,NA,0.321772,0.163682,0.479891
Incidence,1,0.070817,4.4e-05,0.60846
Incidence,2,0.155445,0.000114,1.323837
Incidence,3,0.25693,0.000228,2.164083
Incidence,4,0.379064,0.000412,3.158867
Incidence,5,0.52659,0.00071,4.326354
Incidence,6,0.705461,0.001189,5.70778
Incidence,7,0.92318,0.001966,7.338143
Incidence,8,1.189246,0.003222,9.247985
Incidence,9,1.51573,0.005246,11.528688
Incidence,10,1.918039,0.0085,14.235206
Incidence,11,2.415926,0.013788,17.331467
Incidence,12,3.034824,0.022197,21.13957
Incidence,13,3.807632,0.035767,25.556332
Incidence,14,4.777095,0.057809,30.811434
Incidence,15,5.999013,0.092978,36.981597
Incidence,16,7.546567,0.149848,44.332841
Incidence,17,9.516192,0.241312,52.885689
Incidence,18,12.035579,0.38897,63.363763
Incidence,19,15.274627,0.624948,75.537701
Incidence,20,19.460507,1.004447,90.078209
Incidence,21,24.898481,1.619624,107.509687
Incidence,22,32.000802,2.604966,127.750839
Incidence,23,41.327024,4.189967,152.121397
Incidence,24,53.640505,6.731716,180.248196
Incidence,25,69.987973,10.854456,215.452108
Incidence,26,91.812115,17.447613,256.898581
Incidence,27,121.111658,27.961353,308.092067
Incidence,28,160.670079,44.712359,372.140983
Incidence,29,214.383942,71.282108,451.648722
Incidence,30,287.736543,112.166405,552.782647
Incidence,31,388.484473,174.826867,682.746848
Incidence,32,527.657627,268.542552,865.498251
Incidence,33,721.0228,398.104909,1122.95972
Incidence,34,991.236094,557.061539,1502.328765
Incidence,35,1371.023515,740.588608,2096.265216
Incidence,36,1907.903419,943.991683,3032.182503
Incidence,37,2671.231645,1174.683941,4544.787275
Incidence,38,3762.761526,1431.885217,7000.197536
Incidence,39,5332.546949,1735.020881,10980.558651
Incidence,40,7603.003942,2083.841068,17344.263946
Incidence,41,10905.485287,2496.112811,27469.356945
Incidence,42,15736.131605,2984.414764,43801.99906
CFR,1,0.137734,0.006574,0.5307
CFR,2,0.104427,0.004893,0.403334
CFR,3,0.078008,0.004065,0.293904
CFR,4,0.057587,0.003274,0.212362
CFR,5,0.041585,0.002655,0.147559
CFR,6,0.03005,0.002043,0.100978
CFR,7,0.034988,0.003635,0.10497
CFR,8,0.025043,0.002801,0.070263
CFR,9,0.018045,0.002053,0.04892
CFR,10,0.01811,0.002982,0.044577
CFR,11,0.016833,0.003627,0.038633
u_delay,NA,0.108127,0.041286,0.258446
u_death,NA,0.027443,0.00578,0.095133
predictedDeath,1,1.15635,0.102814,3.010572
predictedDeath,2,1.21558,0.101717,3.086862
predictedDeath,3,1.276634,0.110981,3.230449
predictedDeath,4,1.324468,0.121308,3.341823
predictedDeath,5,1.365413,0.125666,3.509032
predictedDeath,6,1.400513,0.126474,3.555589
predictedDeath,7,2.310486,0.315399,5.240799
predictedDeath,8,2.33843,0.319671,5.316785
predictedDeath,9,2.367487,0.315228,5.409484
predictedDeath,10,3.321892,0.615792,7.008859
predictedDeath,11,4.294628,1.024672,8.465558
