var,time,mean,lower,upper
r,NA,0.297315,0.162554,0.434859
Incidence,1,0.0852,0.000138,0.628925
Incidence,2,0.187065,0.000352,1.368695
Incidence,3,0.309247,0.000683,2.241054
Incidence,4,0.456282,0.00119,3.269394
Incidence,5,0.633816,0.001971,4.488223
Incidence,6,0.848901,0.003174,5.923455
Incidence,7,1.110377,0.005053,7.609533
Incidence,8,1.429358,0.007961,9.591286
Incidence,9,1.819866,0.01236,11.927768
Incidence,10,2.299654,0.019214,14.714549
Incidence,11,2.891274,0.029862,17.956047
Incidence,12,3.623478,0.046314,21.730321
Incidence,13,4.533048,0.071293,26.153763
Incidence,14,5.667215,0.109767,31.527443
Incidence,15,7.086838,0.170475,37.739997
Incidence,16,8.870633,0.262477,45.101818
Incidence,17,11.120788,0.405675,53.829729
Incidence,18,13.970458,0.626891,64.202304
Incidence,19,17.59381,0.966919,76.238198
Incidence,20,22.219524,1.491603,90.768805
Incidence,21,28.149018,2.304191,107.942672
Incidence,22,35.781126,3.543375,128.541576
Incidence,23,45.645664,5.446387,152.99544
Incidence,24,58.449221,8.37486,182.49881
Incidence,25,75.137901,12.922309,217.423723
Incidence,26,96.983595,19.940427,258.850512
Incidence,27,125.703058,30.65848,308.70965
Incidence,28,163.622922,46.885167,369.31579
Incidence,29,213.909201,71.413795,443.501613
Incidence,30,280.887773,108.379842,535.947486
Incidence,31,370.493592,163.413006,652.147497
Incidence,32,490.902791,245.558828,803.671853
Incidence,33,653.42559,362.04703,1006.1957
Incidence,34,873.772481,516.558795,1288.166407
Incidence,35,1173.856723,709.409949,1701.642684
Incidence,36,1584.370216,920.249063,2327.459169
Incidence,37,2148.478845,1156.677125,3295.749578
Incidence,38,2927.144261,1422.113959,4803.374782
Incidence,39,4006.817476,1715.122332,7131.162297
Incidence,40,5510.604098,2058.426185,10709.160803
Incidence,41,7614.52975,2451.851819,16237.613841
Incidence,42,10571.325849,2911.865276,24660.462006
Incidence,43,14745.34492,3452.50285,37672.219396
CFR,1,0.123901,0.005961,0.474597
CFR,2,0.096026,0.004796,0.370396
CFR,3,0.072263,0.003758,0.275221
CFR,4,0.053725,0.003119,0.196358
CFR,5,0.040152,0.002545,0.143855
CFR,6,0.029859,0.002057,0.101687
CFR,7,0.035525,0.003451,0.108706
CFR,8,0.025986,0.002774,0.074722
CFR,9,0.01924,0.002283,0.053448
CFR,10,0.019677,0.003173,0.049019
CFR,11,0.018686,0.004051,0.04296
CFR,12,0.023312,0.007751,0.047364
u_delay,NA,0.127652,0.055694,0.269082
u_death,NA,0.032041,0.008055,0.096357
predictedDeath,1,1.191834,0.097401,3.062345
predictedDeath,2,1.246676,0.110899,3.140134
predictedDeath,3,1.288218,0.115625,3.254718
predictedDeath,4,1.324939,0.119474,3.347363
predictedDeath,5,1.366137,0.128674,3.478306
predictedDeath,6,1.398954,0.129955,3.557843
predictedDeath,7,2.305168,0.291529,5.223175
predictedDeath,8,2.326508,0.316154,5.337277
predictedDeath,9,2.361931,0.32086,5.38472
predictedDeath,10,3.30463,0.598917,6.956112
predictedDeath,11,4.278391,1.046736,8.467442
predictedDeath,12,7.234628,2.649923,12.769447
