var,time,mean,lower,upper
r,NA,0.142137,0.129659,0.152629
Incidence,1,1.074565,1.067725,1.08035
Incidence,2,2.313295,2.283265,2.33884
Incidence,3,3.74132,3.667084,3.804846
Incidence,4,5.387622,5.24248,5.512585
Incidence,5,7.28563,7.035973,7.501917
Incidence,6,9.473901,9.077757,9.819274
Incidence,7,11.996911,11.402206,12.518745
Incidence,8,14.905962,14.048451,15.663337
Incidence,9,18.260236,17.061043,19.326448
Incidence,10,22.128002,20.490697,23.593578
Incidence,11,26.588018,24.395153,28.564323
Incidence,12,31.731144,28.840141,34.354706
Incidence,13,37.662205,33.900492,41.099877
Incidence,14,44.502142,39.661399,48.957273
Incidence,15,52.390492,46.219845,58.110293
Incidence,16,61.488258,53.686243,68.772574
Incidence,17,71.981209,62.186287,81.192982
Incidence,18,84.083703,71.863078,95.661417
Incidence,19,98.043093,82.879523,112.515584
Incidence,20,114.144813,95.421084,132.14887
Incidence,21,132.718254,109.698897,155.019532
Incidence,22,154.143544,125.953331,181.661386
Incidence,23,178.859376,144.458027,212.696273
Incidence,24,207.372049,165.524512,248.848569
Incidence,25,240.265903,189.50744,290.962095
Incidence,26,278.215374,216.810563,340.019812
Incidence,27,321.998902,247.893529,397.16676
Incidence,28,372.515007,283.279619,463.736792
Incidence,29,430.800837,323.564557,541.283701
Incidence,30,498.053597,369.42654,631.617486
Incidence,31,575.655295,421.637653,736.846603
Incidence,32,665.201312,481.076869,859.427176
Incidence,33,768.533411,548.744846,1002.220324
Incidence,34,887.777845,625.780775,1168.558942
Incidence,35,1025.389385,713.481553,1362.325492
Incidence,36,1184.202158,813.323621,1588.042627
Incidence,37,1367.48838,926.987819,1850.978746
Incidence,38,1579.026184,1056.387682,2157.270967
Incidence,39,1823.177982,1203.701654,2514.068374
Incidence,40,2104.980971,1371.409764,2929.698873
Incidence,41,2430.251691,1562.335375,3413.86358
Incidence,42,2805.706807,1779.692715,3977.863249
Incidence,43,3239.102647,2027.140994,4634.862037
Incidence,44,3739.396398,2308.845996,5400.194772
Incidence,45,4316.932347,2629.550223,6291.724869
CFR,1,0.017668,0.001564,0.045623
CFR,2,0.015638,0.001501,0.04022
CFR,3,0.013437,0.001248,0.034464
CFR,4,0.011808,0.001101,0.030843
CFR,5,0.010274,0.000977,0.026447
CFR,6,0.008949,0.000871,0.022989
CFR,7,0.012586,0.001819,0.029325
CFR,8,0.011033,0.001543,0.026001
CFR,9,0.009588,0.001307,0.022518
CFR,10,0.011597,0.002104,0.025478
CFR,11,0.012967,0.003031,0.026786
CFR,12,0.01895,0.006586,0.035458
CFR,13,0.041169,0.022073,0.066094
CFR,14,0.047381,0.027478,0.073907
u_delay,NA,0.385487,0.362737,0.414358
predictedDeath,1,1.416897,0.127293,3.632728
predictedDeath,2,1.446233,0.139349,3.682402
predictedDeath,3,1.43402,0.134602,3.63034
predictedDeath,4,1.452734,0.138582,3.735089
predictedDeath,5,1.458308,0.139545,3.718506
predictedDeath,6,1.464763,0.143823,3.674188
predictedDeath,7,2.375076,0.34327,5.44836
predictedDeath,8,2.399116,0.343915,5.507561
predictedDeath,9,2.404358,0.334527,5.484079
predictedDeath,10,3.349602,0.622377,7.082583
predictedDeath,11,4.313777,1.042657,8.525037
predictedDeath,12,7.264895,2.653948,12.804715
predictedDeath,13,18.17814,10.508533,26.728826
predictedDeath,14,24.111483,15.296538,33.780457
