var,time,mean,lower,upper
r,NA,0.143498,0.117047,0.163479
Incidence,1,1.075333,1.060875,1.086382
Incidence,2,2.316769,2.253481,2.365706
Incidence,3,3.750163,3.594174,3.872239
Incidence,4,5.405422,5.101344,5.646333
Incidence,5,7.317147,6.795662,7.735508
Incidence,6,9.525373,8.700366,10.195722
Incidence,7,12.076428,10.841581,13.092871
Incidence,8,15.023929,13.248674,16.504556
Incidence,9,18.429936,15.95466,20.522159
Incidence,10,22.366289,18.996653,25.253291
Incidence,11,26.916161,22.416375,30.824675
Incidence,12,32.175858,26.26073,37.385541
Incidence,13,38.256901,30.582446,45.111622
Incidence,14,45.288449,35.440797,54.20986
Incidence,15,53.420104,40.902417,64.923951
Incidence,16,62.825169,47.042217,77.540873
Incidence,17,73.704422,53.944406,92.398569
Incidence,18,86.290502,61.703652,109.895002
Incidence,19,100.852991,70.426377,130.498814
Incidence,20,117.70432,80.232218,154.761878
Incidence,21,137.206618,91.255667,183.334079
Incidence,22,159.779665,103.647918,216.980723
Incidence,23,185.910121,117.578935,256.603035
Incidence,24,216.162245,133.239792,303.262298
Incidence,25,251.190341,150.845284,358.208278
Incidence,26,291.75321,170.636881,422.912704
Incidence,27,338.73093,192.886035,499.108682
Incidence,28,393.144352,217.897905,588.837119
Incidence,29,456.177743,246.015543,694.501391
Incidence,30,529.205093,277.624597,818.931712
Incidence,31,613.820673,313.158602,965.460945
Incidence,32,711.874551,353.104927,1138.013875
Incidence,33,825.513852,398.011456,1341.212327
Incidence,34,957.230718,448.494108,1580.498968
Incidence,35,1109.918049,505.245278,1862.283086
Incidence,36,1286.934287,569.043341,2194.112263
Incidence,37,1492.178737,640.76332,2584.874537
Incidence,38,1730.179134,721.388893,3045.036467
Incidence,39,2006.193447,812.025885,3586.923482
Incidence,40,2326.328276,913.91743,4225.050014
Incidence,41,2697.676525,1028.461026,4976.508271
CFR,1,0.017632,0.00162,0.047163
CFR,2,0.015224,0.001398,0.04054
CFR,3,0.013302,0.001276,0.035379
CFR,4,0.011668,0.001015,0.031486
CFR,5,0.010088,0.000905,0.027537
CFR,6,0.008828,0.000839,0.024078
CFR,7,0.012506,0.00162,0.031733
CFR,8,0.010857,0.001382,0.027328
CFR,9,0.009491,0.001273,0.024167
CFR,10,0.011461,0.001937,0.02799
u_delay,NA,0.290855,0.249801,0.354558
predictedDeath,1,1.432155,0.13751,3.683512
predictedDeath,2,1.425261,0.135445,3.634317
predictedDeath,3,1.440016,0.139749,3.651579
predictedDeath,4,1.454093,0.131385,3.72135
predictedDeath,5,1.449669,0.135764,3.707771
predictedDeath,6,1.462298,0.147138,3.711434
predictedDeath,7,2.384579,0.324606,5.477017
predictedDeath,8,2.388842,0.3255,5.426175
predictedDeath,9,2.400656,0.345672,5.45328
predictedDeath,10,3.341172,0.628902,7.06254
