var,time,mean,lower,upper
r,NA,0.141907,0.126881,0.154248
Incidence,1,1.074441,1.066211,1.081247
Incidence,2,2.312762,2.27666,2.342825
Incidence,3,3.740029,3.650861,3.814809
Incidence,4,5.38515,5.210966,5.532291
Incidence,5,7.281469,6.982125,7.536216
Incidence,6,9.467449,8.992889,9.874355
Incidence,7,11.987456,11.275672,12.60245
Incidence,8,14.892669,13.867273,15.785537
Incidence,9,18.24213,16.809471,19.4995
Incidence,10,22.103954,20.149693,23.832879
Incidence,11,26.556729,23.941786,28.88898
Incidence,12,31.691127,28.24688,34.788339
Incidence,13,37.611768,33.134373,41.671595
Incidence,14,44.439372,38.683055,49.702842
Incidence,15,52.313244,44.98237,59.073543
Incidence,16,61.394139,52.133868,70.007091
Incidence,17,71.867574,60.252831,82.76414
Incidence,18,83.947656,69.47014,97.648813
Incidence,19,97.881491,79.934381,115.015955
Incidence,20,113.954292,91.814241,135.279595
Incidence,21,132.495262,105.301228,158.922809
Incidence,22,153.884401,120.612756,186.509245
Incidence,23,178.56036,137.995651,218.696554
Incidence,24,207.029517,157.730133,256.252072
Incidence,25,239.876462,180.134326,300.071108
Incidence,26,277.776101,205.569393,351.198296
Incidence,27,321.507649,234.445357,410.852489
Incidence,28,371.970785,267.227707,480.455825
Incidence,29,430.204325,304.444905,561.667625
Incidence,30,497.40779,346.696905,656.423949
Incidence,31,574.966325,394.664823,766.98376
Incidence,32,664.479495,449.121916,895.982765
Incidence,33,767.794557,510.946051,1046.496259
Incidence,34,887.0449,581.133852,1222.112434
Incidence,35,1024.694481,660.816771,1427.017922
Incidence,36,1183.589157,751.279321,1666.097603
Incidence,37,1367.016025,853.979789,1945.051057
Incidence,38,1578.77199,970.573738,2270.528443
Incidence,39,1823.243022,1102.940701,2650.289035
Incidence,40,2105.495755,1253.214477,3093.386202
Incidence,41,2431.383369,1423.817528,3610.383232
Incidence,42,2807.667974,1617.500029,4213.605168
Incidence,43,3242.162089,1837.384205,4917.432619
Incidence,44,3743.892178,2087.014662,5738.644603
CFR,1,0.01791,0.001648,0.046038
CFR,2,0.015525,0.001494,0.039886
CFR,3,0.013544,0.001217,0.03509
CFR,4,0.011864,0.001147,0.03098
CFR,5,0.010293,0.000936,0.026717
CFR,6,0.008948,0.000852,0.02344
CFR,7,0.012623,0.001637,0.030041
CFR,8,0.011088,0.001468,0.026442
CFR,9,0.009625,0.001293,0.022888
CFR,10,0.011695,0.002123,0.025798
CFR,11,0.013073,0.002968,0.02766
CFR,12,0.019032,0.006534,0.036238
CFR,13,0.041573,0.021732,0.069195
u_delay,NA,0.355468,0.328773,0.390753
predictedDeath,1,1.431068,0.132347,3.652077
predictedDeath,2,1.43096,0.137803,3.624138
predictedDeath,3,1.438619,0.133225,3.688949
predictedDeath,4,1.451938,0.142518,3.66998
predictedDeath,5,1.453703,0.134653,3.707369
predictedDeath,6,1.456087,0.140043,3.731823
predictedDeath,7,2.366996,0.313158,5.430972
predictedDeath,8,2.394492,0.327552,5.507389
predictedDeath,9,2.395172,0.331129,5.482444
predictedDeath,10,3.352079,0.636441,7.053801
predictedDeath,11,4.315562,1.033803,8.618878
predictedDeath,12,7.230461,2.628096,12.766512
predictedDeath,13,18.18434,10.550054,26.604692
