var,time,mean,lower,upper
r,NA,0.143102,0.121053,0.160397
Incidence,1,1.075108,1.063045,1.084664
Incidence,2,2.315746,2.262887,2.358034
Incidence,3,3.747541,3.617132,3.85294
Incidence,4,5.400111,5.145648,5.607925
Incidence,5,7.307688,6.870861,7.668236
Incidence,6,9.509836,8.818083,10.086994
Incidence,7,12.052294,11.015884,12.926558
Incidence,8,14.987934,13.496509,16.260139
Incidence,9,18.377891,16.296354,20.173686
Incidence,10,22.292848,19.456496,24.768098
Incidence,11,26.814544,23.023303,30.16183
Incidence,12,32.037509,27.049104,36.493945
Incidence,13,38.071071,31.592965,43.927699
Incidence,14,45.041691,36.721554,52.654752
Incidence,15,53.095653,42.510116,62.900107
Incidence,16,62.402191,49.04358,74.927914
Incidence,17,73.157107,56.417804,89.048278
Incidence,18,85.586955,64.74098,105.625253
Incidence,19,99.953901,74.135225,125.086234
Incidence,20,116.56134,84.73837,147.932968
Incidence,21,135.760414,96.705981,174.754498
Incidence,22,157.957557,110.213646,206.242346
Incidence,23,183.623246,125.459546,243.20834
Incidence,24,213.30213,142.667367,286.60555
Incidence,25,247.624782,162.089578,337.552857
Incidence,26,287.321313,184.011139,397.363801
Incidence,27,333.237151,208.753678,467.580445
Incidence,28,386.351341,236.680213,550.013139
Incidence,29,447.797748,268.200478,646.787188
Incidence,30,518.889651,303.776932,760.397651
Incidence,31,601.148252,343.931546,893.773671
Incidence,32,696.335739,389.253461,1050.353989
Incidence,33,806.493625,440.407631,1234.175609
Incidence,34,933.98721,498.144582,1449.97788
Incidence,35,1081.557159,563.311419,1703.324685
Incidence,36,1252.379314,636.864258,2000.74789
Incidence,37,1450.134088,719.882252,2349.915757
Incidence,38,1679.086966,813.583427,2759.830643
Incidence,39,1944.181895,919.342547,3241.061104
Incidence,40,2251.14965,1038.711292,3806.014377
Incidence,41,2606.633571,1173.441018,4469.256269
Incidence,42,3018.335472,1325.508454,5247.886692
CFR,1,0.017658,0.001617,0.045973
CFR,2,0.015416,0.001428,0.040266
CFR,3,0.013392,0.001298,0.035345
CFR,4,0.011638,0.001011,0.030984
CFR,5,0.010205,0.000948,0.027116
CFR,6,0.008845,0.000828,0.023878
CFR,7,0.01251,0.001648,0.030375
CFR,8,0.010922,0.001444,0.026965
CFR,9,0.009514,0.0013,0.023693
CFR,10,0.011513,0.002065,0.026981
CFR,11,0.012889,0.002841,0.028957
u_delay,NA,0.301228,0.264684,0.354323
predictedDeath,1,1.430421,0.1343,3.639443
predictedDeath,2,1.440254,0.138093,3.670503
predictedDeath,3,1.442445,0.140237,3.681819
predictedDeath,4,1.446747,0.13221,3.708541
predictedDeath,5,1.459709,0.140129,3.68329
predictedDeath,6,1.458946,0.140603,3.725933
predictedDeath,7,2.384225,0.324896,5.404329
predictedDeath,8,2.396019,0.329575,5.455204
predictedDeath,9,2.402666,0.346893,5.515902
predictedDeath,10,3.35251,0.632691,7.06774
predictedDeath,11,4.317894,1.040619,8.599239
