var,time,mean,lower,upper
r,NA,0.143627,0.124957,0.158365
Incidence,1,1.075392,1.065164,1.083534
Incidence,2,2.316974,2.272103,2.352995
Incidence,3,3.75053,3.639684,3.840289
Incidence,4,5.405863,5.189291,5.582794
Incidence,5,7.317419,6.945151,7.624303
Incidence,6,9.525016,8.934717,10.016123
Incidence,7,12.07468,11.189094,12.818365
Incidence,8,15.019625,13.743528,16.101457
Incidence,9,18.421368,16.637959,19.947907
Incidence,10,22.351042,19.917639,24.454387
Incidence,11,26.890894,23.633844,29.734153
Incidence,12,32.136032,27.844678,35.919895
Incidence,13,38.196445,32.615974,43.167076
Incidence,14,45.199338,38.02233,51.657831
Incidence,15,53.291832,44.148274,61.605551
Incidence,16,62.644103,51.089581,73.260243
Incidence,17,73.452997,58.954778,86.914812
Incidence,18,85.94623,67.866834,102.912427
Incidence,19,100.387247,77.965086,121.65514
Incidence,20,117.080841,89.407418,143.613995
Incidence,21,136.379674,102.372725,169.340863
Incidence,22,158.691812,117.063718,199.482313
Incidence,23,184.489464,133.710084,234.795863
Incidence,24,214.319099,152.572085,276.169015
Incidence,25,248.81316,173.944621,324.641561
Incidence,26,288.703636,198.161845,381.431717
Incidence,27,334.837789,225.602387,447.966737
Incidence,28,388.196359,256.695269,525.918783
Incidence,29,449.91467,291.92662,617.246951
Incidence,30,521.307067,331.84727,724.246507
Incidence,31,603.895249,377.081365,849.606571
Incidence,32,699.441078,428.336126,996.477699
Incidence,33,809.984613,486.412906,1168.551068
Incidence,34,937.88818,552.219715,1370.151236
Incidence,35,1085.887441,626.785422,1606.344832
Incidence,36,1257.150591,711.275838,1883.067888
Incidence,37,1455.346962,807.011944,2207.275028
Incidence,38,1684.726543,915.490542,2587.114246
Incidence,39,1950.212164,1038.407662,3032.131687
Incidence,40,2257.506356,1177.685071,3553.511557
Incidence,41,2613.215228,1335.500329,4164.357212
Incidence,42,3024.992099,1514.320826,4880.020463
Incidence,43,3501.704019,1716.942363,5718.487407
CFR,1,0.017459,0.001621,0.045308
CFR,2,0.015171,0.001386,0.039345
CFR,3,0.013247,0.001209,0.034742
CFR,4,0.011541,0.001071,0.030455
CFR,5,0.01004,0.000962,0.026546
CFR,6,0.008769,0.000808,0.023318
CFR,7,0.012351,0.001549,0.029644
CFR,8,0.010758,0.001494,0.025736
CFR,9,0.009364,0.001262,0.022859
CFR,10,0.011323,0.001972,0.025818
CFR,11,0.012576,0.002785,0.027511
CFR,12,0.018516,0.006308,0.036547
u_delay,NA,0.308306,0.277018,0.352508
predictedDeath,1,1.425717,0.135606,3.63101
predictedDeath,2,1.430204,0.13348,3.647529
predictedDeath,3,1.441964,0.132169,3.67747
predictedDeath,4,1.44953,0.137043,3.709737
predictedDeath,5,1.457064,0.141886,3.734751
predictedDeath,6,1.466547,0.138962,3.750625
predictedDeath,7,2.385251,0.309276,5.466548
predictedDeath,8,2.395948,0.342182,5.454617
predictedDeath,9,2.405003,0.338517,5.520584
predictedDeath,10,3.351996,0.614884,7.089352
predictedDeath,11,4.292016,0.991822,8.530467
predictedDeath,12,7.292562,2.6882,12.775649
